"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","일반음식점","07_24_04_P","3680000","3680000-101-2021-00006","2021-01-08","","03","폐업","02","폐업","2024-12-16","","","","042 935 0085","48.10","306-816","대전광역시 대덕구 신탄진동 134-4","대전광역시 대덕구 신탄진북로 17, 1층 (신탄진동)","34310","밥통김밥","2024-12-16 09:51:30","U","2024-12-18 02:40:00","분식","238939.72854695","327749.596243322","분식","0","0","","","","0","0","0","0","0","","0","0","N","48.1","","","",
"2","일반음식점","07_24_04_P","5530000","5530000-101-2020-01346","2020-11-27","","03","폐업","02","폐업","2023-06-02","","","","","66.11","","경기도 화성시 산척동 714-1","경기도 화성시 동탄산척로2가길 28, 1층 102호 (산척동)","18496","가온길 푸드","2023-06-02 10:33:00","U","2023-06-04 02:40:00","분식","209985.163615425","407981.308077735","분식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","66.11","","","",
"3","일반음식점","07_24_04_P","3490000","3490000-101-2018-00353","2018-12-12","","03","폐업","02","폐업","2022-06-16","","","","","51.33","400-320","인천광역시 중구 중산동 1956-1 오션뷰 114호","인천광역시 중구 은하수로 1, 오션뷰 114호 (중산동)","22410","해랑","2022-06-16 13:49:28","U","2022-06-18 02:40:00","횟집","163006.305238529","443338.248548339","횟집","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","51.33","","","",
"4","일반음식점","07_24_04_P","4470000","4470000-101-2018-00182","2018-12-12","","03","폐업","02","폐업","2023-08-01","","","","043 811 8880","38.40","","충청북도 음성군 맹동면 동성리 518","충청북도 음성군 맹동면 장성1길 10, 102호","27738","맥켄치킨 충북혁신점","2023-08-01 10:37:34","U","2023-08-03 02:40:00","호프/통닭","248048.7915","378722.001","호프/통닭","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","38.4","","","",
"5","일반음식점","07_24_04_P","5010000","5010000-101-2018-00035","2018-12-13","","03","폐업","02","폐업","2024-12-30","","","","","43.00","535-838","전라남도 신안군 임자면 진리 458-17","전라남도 신안군 임자면 임자로 114-3","58802","홍매화 포차","2024-12-30 09:08:54","U","2025-01-01 02:40:00","경양식","118779.803126831","176599.486679715","경양식","0","1","","","상수도전용","0","0","0","0","0","","0","0","N","43","","","",
"6","일반음식점","07_24_04_P","6520000","6520000-101-2018-00470","2018-12-12","","03","폐업","02","폐업","2019-07-31","","","","","138.32","699-935","제주특별자치도 서귀포시 대정읍 하모리 873-1번지 와와근고기전문식당","제주특별자치도 서귀포시 대정읍 하모중앙로 51, 1층","63508","신토불이본점","2019-07-31 14:36:04","U","2019-08-02 02:40:00","한식","130238.942648611","-30002.9418398558","한식","","","","","","","","","","","","","","N","138.32","","","",
"7","일반음식점","07_24_04_P","5370000","5370000-101-2019-00001","2019-01-02","","03","폐업","02","폐업","2020-12-31","","","","055 950 7882","37.12","656-903","경상남도 거제시 아주동 1575 아주e편한세상1단지","경상남도 거제시 아주2로 138, 상가동 지하1층 104호 (아주동, 아주e편한세상1단지)","53307","박군치킨 아주점","2020-12-31 14:12:53","U","2021-01-02 02:40:00","호프/통닭","353198.575089362","153601.146520654","호프/통닭","","","","","상수도전용","","","","","","","","","N","37.12","","","",
"8","일반음식점","07_24_04_P","3130000","3130000-101-2017-00833","2017-09-27","","03","폐업","02","폐업","2018-07-13","","","","","41.32","121-840","서울특별시 마포구 서교동 396-54번지","서울특별시 마포구 독막로3길 24-9 (서교동, 지1층일부)","04047","할라바스켓","2018-07-13 10:13:23","I","2018-08-31 23:59:59","감성주점","192632.982415052","449665.015649916","감성주점","","","","","","","","","","","","","","N","41.32","","","",
"9","일반음식점","07_24_04_P","3650000","3650000-101-2023-00307","2023-11-14","","03","폐업","02","폐업","2024-11-13","","","","","33.60","301-842","대전광역시 중구 유천동 198-8 C동 102호","대전광역시 중구 평촌로 100, C동 1층 102호 (유천동)","34897","레드레터데이(REDLETTERDAY)","2024-11-13 13:50:13","U","2024-11-15 02:40:00","기타","235692.012232639","313583.064914265","기타","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","33.6","","","",
"10","일반음식점","07_24_04_P","3250000","3250000-101-2024-00139","2024-12-02","","03","폐업","02","폐업","2024-12-12","","","","","","600-017","부산광역시 중구 중앙동7가 20-1 롯데백화점광복점","부산광역시 중구 중앙대로 2, 롯데백화점광복점 지하1층 (중앙동7가)","48944","농업회사법인 주식회사 진양푸드","2024-12-13 04:15:09","U","2024-12-15 02:40:00","기타","385590.814676765","179553.867031936","기타","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"11","일반음식점","07_24_04_P","3250000","3250000-101-2024-00138","2024-12-02","","03","폐업","02","폐업","2024-12-26","","","","","","600-017","부산광역시 중구 중앙동7가 20-1 롯데백화점광복점","부산광역시 중구 중앙대로 2, 롯데백화점광복점 (중앙동7가)","48944","그대쉴꽃꽃차수제티푸드협회","2024-12-27 04:15:10","U","2024-12-29 02:40:00","기타","385590.814676765","179553.867031936","기타","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"12","일반음식점","07_24_04_P","4070000","4070000-101-2024-00307","2024-12-02","","03","폐업","02","폐업","2024-12-15","","","","","18.00","467-871","경기도 이천시 모가면 신갈리 374","경기도 이천시 모가면 사실로 988, 시몬스테라스 일대","17406","삼미분식","2024-12-16 04:15:09","U","2024-12-18 02:40:00","기타","239563.727227357","410747.069185005","기타","0","0","","","","0","0","0","0","0","","0","0","N","18","","","",
"13","일반음식점","07_24_04_P","3420000","3420000-101-2024-00355","2024-12-02","","03","폐업","02","폐업","2024-12-19","","","","","8.00","701-020","대구광역시 동구 신천동 1506 신세계동대구복합환승센터","대구광역시 동구 동부로 149, 신세계동대구복합환승센터 지하1층 (신천동)","41229","퍼스티아","2024-12-20 04:15:09","U","2024-12-22 02:40:00","기타","347037.241970286","265407.404336831","기타","0","0","","","","0","0","0","0","0","","0","0","N","8","","","",
"14","일반음
"15","일반음식점","07_24_04_P","3420000","3420000-101-2024-00355","2024-12-02 44:63:55","","03","폐업"
"1","일반음식점","07_24_04_P","3680000","3680000-101-2021-00006","2021-01-08","","03","폐업","02","폐업","2024-12-16","","","","042 935 0085","48.10","306-816","대전광역시 대덕구 신탄진동 134-4","대전광역시 대덕구 신탄진북로 17, 1층 (신탄진동)","34310","밥통김밥","2024-12-16 09:51:30","U","2024-12-18 02:40:00","분식","238939.72854695","327749.596243322","분식","0","0","","","","0","0","0","0","0","","0","0","N","48.1","","","",
"2","일반음식점","07_24_04_P","5530000","5530000-101-2020-01346","2020-11-27","","03","폐업","02","폐업","2023-06-02","","","","","66.11","","경기도 화성시 산척동 714-1","경기도 화성시 동탄산척로2가길 28, 1층 102호 (산척동)","18496","가온길 푸드","2023-06-02 10:33:00","U","2023-06-04 02:40:00","분식","209985.163615425","407981.308077735","분식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","66.11","","","",
"3","일반음식점","07_24_04_P","3490000","3490000-101-2018-00353","2018-12-12","","03","폐업","02","폐업","2022-06-16","","","","","51.33","400-320","인천광역시 중구 중산동 1956-1 오션뷰 114호","인천광역시 중구 은하수로 1, 오션뷰 114호 (중산동)","22410","해랑","2022-06-16 13:49:28","U","2022-06-18 02:40:00","횟집","163006.305238529","443338.248548339","횟집","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","51.33","","","",
"4","일반음식점","07_24_04_P","4470000","4470000-101-2018-00182","2018-12-12","","03","폐업","02","폐업","2023-08-01","","","","043 811 8880","38.40","","충청북도 음성군 맹동면 동성리 518","충청북도 음성군 맹동면 장성1길 10, 102호","27738","맥켄치킨 충북혁신점","2023-08-01 10:37:34","U","2023-08-03 02:40:00","호프/통닭","248048.7915","378722.001","호프/통닭","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","38.4","","","",
"5","일반음식점","07_24_04_P","5010000","5010000-101-2018-00035","2018-12-13","","03","폐업","02","폐업","2024-12-30","","","","","43.00","535-838","전라남도 신안군 임자면 진리 458-17","전라남도 신안군 임자면 임자로 114-3","58802","홍매화 포차","2024-12-30 09:08:54","U","2025-01-01 02:40:00","경양식","118779.803126831","176599.486679715","경양식","0","1","","","상수도전용","0","0","0","0","0","","0","0","N","43","","","",
"6","일반음식점","07_24_04_P","6520000","6520000-101-2018-00470","2018-12-12","","03","폐업","02","폐업","2019-07-31","","","","","138.32","699-935","제주특별자치도 서귀포시 대정읍 하모리 873-1번지 와와근고기전문식당","제주특별자치도 서귀포시 대정읍 하모중앙로 51, 1층","63508","신토불이본점","2019-07-31 14:36:04","U","2019-08-02 02:40:00","한식","130238.942648611","-30002.9418398558","한식","","","","","","","","","","","","","","N","138.32","","","",
"7","일반음식점","07_24_04_P","5370000","5370000-101-2019-00001","2019-01-02","","03","폐업","02","폐업","2020-12-31","","","","055 950 7882","37.12","656-903","경상남도 거제시 아주동 1575 아주e편한세상1단지","경상남도 거제시 아주2로 138, 상가동 지하1층 104호 (아주동, 아주e편한세상1단지)","53307","박군치킨 아주점","2020-12-31 14:12:53","U","2021-01-02 02:40:00","호프/통닭","353198.575089362","153601.146520654","호프/통닭","","","","","상수도전용","","","","","","","","","N","37.12","","","",
"8","일반음식점","07_24_04_P","3130000","3130000-101-2017-00833","2017-09-27","","03","폐업","02","폐업","2018-07-13","","","","","41.32","121-840","서울특별시 마포구 서교동 396-54번지","서울특별시 마포구 독막로3길 24-9 (서교동, 지1층일부)","04047","할라바스켓","2018-07-13 10:13:23","I","2018-08-31 23:59:59","감성주점","192632.982415052","449665.015649916","감성주점","","","","","","","","","","","","","","N","41.32","","","",
"9","일반음식점","07_24_04_P","3650000","3650000-101-2023-00307","2023-11-14","","03","폐업","02","폐업","2024-11-13","","","","","33.60","301-842","대전광역시 중구 유천동 198-8 C동 102호","대전광역시 중구 평촌로 100, C동 1층 102호 (유천동)","34897","레드레터데이(REDLETTERDAY)","2024-11-13 13:50:13","U","2024-11-15 02:40:00","기타","235692.012232639","313583.064914265","기타","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","33.6","","","",
"16","일반음식점","07_24_04_P","4311000","4311000-101-2025-00011","2025-01-06","","03","폐업","02","폐업","2025-02-02","","","","","","","강원특별자치도 화천군 화천읍 아리 216-2 (현장낚시(1낚시터) 초등학교 방향)","","","산천어 회센터(1)","2025-02-03 04:15:13","U","2025-02-05 02:40:00","횟집","262199.75242819","511689.812677347","횟집","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
